trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.rt,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp_3.rt,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
,,,,,kankeru,компас,kankeru.wav,компас,клубок,костыль,green,black,black,kankeru = компас?,1,ediste,кроссворд,felkure,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,left,0,8,8,8,1,2.735835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,bokente,костыль,bokente.wav,костыль,пальма,кроссворд,green,black,black,bokente = микрофон?,0,farantu,точилка,sankadu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""b"",""o"",""k"",""a"",""r"",""t"",""e"",""return""]","[1.7570850000011546,1.9163049999989425,2.164359999998908,2.244324999999776,2.6443099999997344,3.1402899999994247,3.2762599999987287,3.3979849999996645]",3.397985,bokarte,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eskife,одуванчик,eskife.wav,компас,гвоздь,одуванчик,black,black,green,eskife = одуванчик?,1,kovaru,утюг,tinfetu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""e"",""s"",""k"",""i"",""m"",""e"",""return""]","[0.9751749999995809,1.255204999997602,1.6871350000001257,2.064444999999921,2.3590650000004985,2.6475049999972384,3.5358500000002095]",3.53585,eskime,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kovaru,утюг,kovaru.wav,аквариум,утюг,стрела,black,green,black,kovaru = мяч?,0,tinfetu,микрофон,kasfine,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""k"",""o"",""v"",""a"",""n"",""t"",""e"",""return""]","[0.2821900000017763,0.849870000001772,1.7218549999998345,1.82579500000071,2.1313499999997134,2.4818650000015623,2.617775000002382,2.7378000000026077]",2.7378,kovante,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sankadu,домино,sankadu.wav,стрела,домино,колокол,black,green,black,sankadu = гвоздь?,0,befadu,мяч,kavenu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""s"",""a"",""n"",""k"",""t"",""i"",""m"",""e"",""return""]","[2.01472000000291,2.125115000002552,2.453125,2.773055000001534,3.2210550000017975,3.3090350000020976,3.501025000001448,3.597670000002836,3.757125000000144]",3.757125,sanktime,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ekiste,качели,ekiste.wav,качели,самолет,пистолет,green,black,black,ekiste = кроссворд?,0,bokente,костыль,farantu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""e"",""k"",""i"",""s"",""t"",""e"",""return""]","[0.8721800000020608,1.0561049999996044,1.2807300000021655,1.4080649999995671,1.6643849999999816,1.7281399999991436,2.2644900000013877]",2.26449,ekiste,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apokte,костюм,apokte.wav,маяк,гранат,костюм,black,black,green,apokte = копилка?,0,farimu,конверт,ekiste,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""a"",""p"",""j"",""d"",""i"",""m"",""e"",""return""]","[2.7815150000024005,3.154710000002524,3.6828000000023167,4.258690000002389,4.458630000000994,4.650639999999839,4.730935000003171,4.810665000000824]",4.810665,apjdime,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,derene,стол,derene.wav,намордник,компас,стол,black,black,green,derene = самолет?,0,potabu,маяк,kambipu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""d"",""e"",""r"",""e"",""n"",""e"",""return""]","[1.022404999999651,1.247739999998771,1.5103600000002189,1.622319999998524,1.9262999999990598,2.054249999997353,2.254365000000689]",2.254365,derene,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ediste,кроссворд,ediste.wav,гвоздь,мельница,кроссворд,black,black,green,ediste = стол?,0,felkure,веер,apokte,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""e"",""d"",""i"",""s"",""t"",""e"",""return""]","[0.9044149999972433,1.383964999997204,1.9358899999970731,2.3918549999980883,2.703794999997683,2.775869999997667,3.0557999999982144]",3.0558,ediste,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kankeru,компас,kankeru.wav,компас,клубок,костыль,green,black,black,kankeru = компас?,1,ediste,кроссворд,felkure,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""k"",""a"",""n"",""k"",""e"",""r"",""u"",""return""]","[1.082865000000254,1.5473600000005376,1.9806049999970128,3.323544999999285,3.5147949999991965,3.7801599999984887,3.9707600000002117,4.380264999999781]",4.380265,kankeru,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
